LOCALITY_NAME,PRICE,PRICE_PER_SQFT,AREA,LATITUDE,LONGITUDE,LOG_PRICE
louiswadi thane west 400604.,8000000.0,12307.69,650.0,19.193,72.9616,15.894952224644102
lower parel,63450000.0,41890.4625,1580.6666666666667,18.99568,72.8302756,17.965762767885114
magathane,12546428.57142857,24628.244285714285,507.2857142857143,19.2167968,72.8668012,16.344946686764803
mahajan wadi,8573750.0,15002.8875,571.5,19.17208695,72.9547352,15.96421588443074
mahakali caves,14800000.0,17848.485,850.0,19.1306093,72.87381645,16.51013780630191
mahalaxmi,106443333.33333333,58516.524333333335,1742.1333333333334,18.9825203,72.8242196,18.483123329525743
mahavir nagar,12800000.0,26947.37,475.0,19.2133846,72.84197344,16.36495580701484
mahesh nagar,45000000.0,27272.73,1650.0,20.8995915,77.745256,17.622173069956816
mahim west,39725000.0,41426.43,965.5,19.0317058,72.8408104,17.497491295560117
majiwada,14203448.27586207,18298.011379310345,783.3793103448276,19.213025100000003,72.9784852,16.46899539982527
malabar hill,172142857.14285713,78348.75714285715,2096.285714285714,18.9581616,72.8033665,18.963835260642846
malad east,29324242.424242426,21813.661818181816,1359.2424242424242,19.1860219,72.8563181,17.19392515248617
malad west,20198115.384615384,25061.114230769228,803.9615384615385,19.1852851,72.8358611,16.821099909737175
malvani,5213333.333333333,13072.003333333334,396.6666666666667,19.1982684,72.8093427,15.466730196229168
maneklal estate,13000000.0,24074.07,540.0,19.0899,72.9014,16.380459992348886
manisha nagar,5000000.0,7936.51,630.0,19.1969825,72.9917693,15.424948670398354
manpada,19954166.666666668,17831.655208333334,1148.3333333333333,19.2314156,72.9738156,16.808948585079737
marol,19248552.63157895,22177.63342105263,905.1052631578947,19.1172198,72.882342,16.772946479853342
mathuras road kandivali,15500000.0,9967.85,1555.0,19.204511,72.837639,16.5563506464056
matunga,51400000.0,48442.19666666667,1041.4444444444443,19.0274356,72.8501467,17.755148749880647
matunga east,102625000.0,59937.4175,1767.75,19.0261579,72.8520846,18.44659213548108
matunga west,50166666.666666664,33423.84333333333,1508.0,19.0317259,72.8433917,17.730861373418648
mhada colony,14500000.0,21323.53,680.0,20.2511706,75.7665521,16.489659276356317
midc industrial area,14500000.0,14871.79,975.0,16.85006775,74.63945746,16.489659276356317
mindspace,31500000.0,21920.67,1437.0,19.18478475,72.83413496,17.265498135541893
mint colony,11000000.0,18333.33,600.0,18.99534575,72.84463259,16.213405921671733
mira bhayandar,9724933.333333334,15408.548666666667,628.0666666666667,19.3183904,72.8991697,16.090203695089517
mira road,9467571.42857143,14034.982857142857,700.5238095238095,19.2816975,72.8560676,16.06338308896082
mira road east,12139894.736842105,13003.687894736842,970.2631578947369,19.2948873,72.8678432,16.312007755160238
model town,36300000.0,29259.3,1179.5,19.1331581,72.8690001,17.40732832678329
mota nagar,19800000.0,26902.17,736.0,19.0551002,72.8305478,16.801192546169812
moti nagar,13500000.0,15000.0,900.0,19.30513204,72.84854711,16.41820031748273
mulund east,19456774.19354839,22907.67258064516,856.0967741935484,19.1704719,72.9610447,16.783705906372703
mulund west,30845447.154471546,26621.15837398374,1127.30081300813,19.1719717,72.9511956,17.244499749762394
mumbai central,39800000.0,26855.6,1482.0,18.9695855,72.8193152,17.499377495380294
nahur,21281818.181818184,29185.255454545455,739.9090909090909,19.1543618,72.9464735,16.873363706651233
naidu colony,16500000.0,19411.76,850.0,19.0815,72.9159,16.61887099947687
naigaon,3000000.0,7317.07,410.0,19.3510925,72.8465229,14.914123179965662
naigaon east,4890111.111111111,10546.842222222222,466.8333333333333,19.0137554,72.84629429,15.402725787795834
nalasopara east,4250000.0,6990.13,608.0,19.41744235,72.81759746,15.26242977619469
nalasopara west,2974800.0,6090.406,517.0,19.41744235,72.81759746,14.905687703968278
nallasopara,3350000.0,4527.03,740.0,19.4188363,72.8256898,15.024471202308668
napean sea road,67750000.0,63219.33500000001,1057.5,18.95608665,72.79918967,18.031335032484233
naupada,16185714.285714285,21238.737142857142,744.2857142857143,19.1896853,72.9696845,16.599639638725797
navi mumbai nerul east,1500000.0,4166.67,360.0,19.0263069,73.01062538,14.220976332738882
nehru nagar,11832666.666666666,24012.039999999997,492.6666666666667,19.0010485,72.8194265,16.28637471067412
neral,2632500.0,4950.295,555.0,19.0274308,73.3184369,14.783444902857243
nere,2650000.0,7123.66,372.0,18.6337128,73.6956843,14.790070575320824
nerul,34647727.27272727,27267.76068181818,1395.7045454545455,19.03359375,73.01816401,17.360742719336244
nerul east,22500000.0,15625.0,1440.0,19.0370909,73.0233188,16.929025911619092
new mig colony,65500000.0,34473.68,1900.0,19.0572,72.8436,17.997560715872655
new panvel,7662666.666666667,11703.186666666666,665.5333333333333,18.9993761,73.1239899,15.851870740444522
new panvel sec 15a,6500000.0,10077.52,645.0,18.9916,73.125,15.687312888712007
new prabhadevi road,8999000.0,32139.29,280.0,19.01057552,72.82871159,16.01262412913954
nilje gaon,6700000.0,6102.0,1098.0,19.1557,73.078,15.717618233614914
